x y groupName
-0.6151 4.9284 cluster_1
0.9826 0.8772 cluster_2
3.0110 -0.5503 cluster_2
0.2749 -3.8869 cluster_0
-0.1079 1.8867 cluster_1
2.7367 0.5026 cluster_2
2.9238 -0.8001 cluster_2
1.5673 3.2475 cluster_2
-2.9404 -2.2662 cluster_0
1.1612 -0.7345 cluster_2
-0.3120 -4.2420 cluster_0
0.9667 -2.5237 cluster_0
3.9667 -2.5506 cluster_2
0.7019 1.3345 cluster_2
-3.6179 -1.9902 cluster_0
-0.4589 -3.6242 cluster_0
2.6740 -1.4963 cluster_2
-1.1737 -2.7541 cluster_0
-0.6322 -3.7047 cluster_0
-3.0473 -0.7756 cluster_0
-0.6098 -0.5538 cluster_0
-2.8140 -1.3407 cluster_0
0.4828 -0.3688 cluster_2
-1.9402 -2.6835 cluster_0
-3.3769 -3.0059 cluster_0
-2.0101 -0.4855 cluster_0
0.4886 -1.4600 cluster_0
-3.7257 -0.8856 cluster_0
2.7099 -0.4511 cluster_2
-2.0247 -2.2351 cluster_0
-2.8456 1.3459 cluster_1
2.1622 3.7271 cluster_2
0.5984 -0.1133 cluster_2
0.8568 3.2879 cluster_1
-3.1195 -0.9931 cluster_0
1.5047 -3.1339 cluster_0
3.6785 0.2216 cluster_2
1.1043 -4.3822 cluster_0
3.3460 -0.6775 cluster_2
-1.7138 -1.8782 cluster_0
0.7247 -3.6802 cluster_0
1.0244 -0.0956 cluster_2
-0.7486 2.3537 cluster_1
-2.1538 2.3774 cluster_1
0.2572 -1.0852 cluster_0
3.3229 1.1993 cluster_2
-0.3303 2.4901 cluster_1
-1.7708 0.0153 cluster_1
-0.3775 1.1879 cluster_1
0.0799 -1.9708 cluster_0
1.0632 1.2951 cluster_2
-0.0996 -0.8473 cluster_0
2.8958 -1.6884 cluster_2
-0.4190 3.6248 cluster_1
-2.3477 -1.3205 cluster_0
-1.9077 -0.1377 cluster_1
1.1173 3.1516 cluster_2
-2.3119 -4.1916 cluster_0
-1.1189 0.1106 cluster_1
-1.2591 3.7317 cluster_1
-4.8033 1.8521 cluster_1
-1.3775 -2.1802 cluster_0
1.8310 -0.3532 cluster_2
-1.9513 0.5457 cluster_1
2.1538 -0.8657 cluster_2
-2.9474 2.2867 cluster_1
0.1389 -2.1378 cluster_0
-3.8216 -2.0640 cluster_0
0.7703 3.6838 cluster_1
-0.9454 -0.7372 cluster_0
-0.7708 -3.4929 cluster_0
-3.2830 0.4788 cluster_1
-2.1916 4.2105 cluster_1
-2.8348 -0.6205 cluster_0
-1.5875 -1.5301 cluster_0
-2.9770 -2.3097 cluster_0
1.9621 2.8491 cluster_2
-2.7985 -1.6567 cluster_0
-0.7049 -2.0322 cluster_0
2.6551 2.0410 cluster_2
-0.7321 1.3705 cluster_1
-0.6633 -1.5712 cluster_0
-0.1431 -2.9142 cluster_0
0.5367 1.1330 cluster_2
-0.0167 -0.7536 cluster_0
0.2165 1.3391 cluster_1
0.1935 -4.2934 cluster_0
-3.7585 1.4097 cluster_1
3.7604 -0.6453 cluster_2
3.6936 0.5700 cluster_2
-1.1530 0.2574 cluster_1
-1.8892 1.9724 cluster_1
1.2718 -3.2421 cluster_0
3.4508 0.3600 cluster_2
-0.0041 -3.9359 cluster_0
-1.5907 -1.4555 cluster_0
-0.5582 1.2986 cluster_1
0.6704 1.8572 cluster_2
-1.1204 -4.9192 cluster_0
-0.4838 3.8859 cluster_1
3.4660 0.2012 cluster_2
0.5271 -2.4485 cluster_0
-0.8383 -0.3381 cluster_0
-1.7340 -0.3795 cluster_0
-1.4809 4.8735 cluster_1
1.5282 -1.5534 cluster_2
-1.8230 3.1898 cluster_1
2.6088 -1.0107 cluster_2
2.0340 1.0112 cluster_2
2.0539 0.3805 cluster_2
-3.2634 1.1271 cluster_1
-2.7183 -0.5185 cluster_0
2.1569 -0.9513 cluster_2
-1.7010 -3.9694 cluster_0
1.3668 3.9379 cluster_2
-0.7028 -1.3141 cluster_0
3.0185 1.8944 cluster_2
-1.0171 1.6168 cluster_1
-2.5600 0.1943 cluster_1
-1.9636 1.4710 cluster_1
2.5566 -2.3967 cluster_2
2.1479 -0.6004 cluster_2
-2.3660 0.9985 cluster_1
-0.9853 -1.8579 cluster_0
2.6329 -2.4150 cluster_2
-0.2640 2.7326 cluster_1
-0.5438 -0.2041 cluster_0
-0.0570 0.5277 cluster_1
3.0087 1.1120 cluster_2
0.2414 -0.1552 cluster_2
-1.0576 -1.5056 cluster_0
0.4008 1.3398 cluster_2
-4.2411 1.8590 cluster_1
-0.2875 2.6522 cluster_1
1.1777 -0.1467 cluster_2
-2.3059 0.2293 cluster_1
-0.6189 4.8786 cluster_1
1.9696 0.2894 cluster_2
-1.3033 2.7802 cluster_1
-0.0286 -0.8810 cluster_0
1.0765 -0.2060 cluster_2
0.0408 1.1345 cluster_1
-0.3970 -1.9627 cluster_0
-3.6035 -1.9447 cluster_0
0.7534 -4.0118 cluster_0
-0.6602 1.4132 cluster_1
-1.7616 0.3344 cluster_1
-3.2065 0.2814 cluster_1
0.3131 -2.2973 cluster_0
0.5270 0.2555 cluster_2
2.0579 0.6836 cluster_2
-1.6208 -0.7949 cluster_0
2.0995 -3.2513 cluster_0
-1.7381 0.5093 cluster_1
1.8624 -1.1027 cluster_2
-1.0571 0.6509 cluster_1
2.2386 -3.1800 cluster_0
-1.9542 -2.1378 cluster_0
-1.3471 -0.8538 cluster_0
3.2252 -1.8249 cluster_2
-0.1534 -1.9873 cluster_0
-0.7904 1.2271 cluster_1
1.7526 2.3493 cluster_2
-2.3294 -1.6226 cluster_0
